hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,131.92,,0.0,2492.53,,16.6628,131.921,16.6628,-48.0794,,,611_runway,,,,,2.4,,,1.0385541666666667
1,0.0,282.016,8.91754,,0.0,,,99.1317,8.91796,99.1317,-171.082,,,634a_data_center,,,,,0.277,1.0181083032490976,,
1,0.0,282.016,8.91754,,0.0,,,79.6503,8.91796,79.6503,-171.082,,,634b_radar,,,,,0.277,1.0181083032490976,,
1,0.0,282.016,8.91754,,0.0,,,33.0439,8.91796,33.0439,-171.082,,,634c_atc_tower,,,,,0.277,1.0181083032490976,,
1,0.0,,-110.406,2336.5,0.0,,,3.91258,-110.406,3.91258,69.5938,,,645_hangar,,,,,2.4,,0.9735416666666666,
1,0.0,,-110.414,2336.22,0.0,,,6.29088,-110.414,6.29088,69.5858,,,646_office,,,,,2.4,,0.9734249999999999,
1,0.0,,132.011,,0.0,2488.88,,7.89668,132.011,7.89668,-47.9891,,,652_residential,,,,,2.4,,,1.0370333333333335
1,0.0,2518.04,12.2878,,0.0,,,0.946675,12.2882,0.946675,-167.712,,,670a_residential2,,,,,2.4,1.0491833333333334,,
1,0.0,,-107.212,2353.9,0.0,,,3.7132,-107.212,3.7132,72.7883,,,670b_residential2,,,,,2.4,,0.9807916666666667,
1,0.0,,133.234,,0.0,2477.93,,6.73404,133.234,6.73404,-46.766,,,670c_residential2,,,,,2.4,,,1.0324708333333332
1,0.0,2519.6,11.6309,2357.09,-107.967,2489.0,132.143,115.971,10.9039,111.798,-108.229,115.43,133.124,671_command_center,,,,,2.4,1.0498333333333334,0.9821208333333334,1.0370833333333334
1,0.0,2518.84,11.4554,2356.72,-108.117,2489.15,131.978,63.0752,11.4558,59.0153,-108.117,62.3314,131.978,675a_hospital,0.0,0.0,3.29528,-122.635,2.4,1.0495166666666667,0.9819666666666665,1.0371458333333334
1,0.0,2518.84,11.4554,2356.72,-108.117,2489.15,131.978,3.78198,11.4558,3.53855,-108.117,3.73738,131.978,675b_residential1,0.0,0.0,0.197584,-122.635,2.4,1.0495166666666667,0.9819666666666665,1.0371458333333334
1,0.0,2518.84,11.4554,2356.72,-108.117,2489.15,131.978,15.1279,11.4558,14.1542,-108.117,14.9495,131.978,675c_residential1,0.0,0.0,0.790338,-122.635,2.4,1.0495166666666667,0.9819666666666665,1.0371458333333334
1,0.0,2519.6,11.6307,2357.09,-107.967,2488.99,132.143,3.76252,10.9037,3.62713,-108.229,3.74497,133.123,692_warehouse2,,,,,2.4,1.0498333333333334,0.9821208333333334,1.0370791666666666
